participant_id,n_view_sequences,prefix_length,accuracy
1,94,1,0.39361702127659576
1,94,2,0.39361702127659576
1,94,3,0.40425531914893614
1,94,4,0.39361702127659576
1,94,5,0.43617021276595747
1,94,6,0.43617021276595747
1,94,7,0.44680851063829785
1,94,8,0.46808510638297873
1,94,9,0.48936170212765956
1,94,10,0.4787234042553192
1,94,11,0.5212765957446809
1,94,12,0.48936170212765956
1,94,13,0.5106382978723404
1,94,14,0.5212765957446809
1,94,15,0.5106382978723404
1,94,16,0.5425531914893617
1,94,17,0.5638297872340425
1,94,18,0.5957446808510638
1,94,19,0.6382978723404256
1,94,20,0.648936170212766
1,94,21,0.7127659574468085
1,94,22,0.7446808510638298
1,94,23,0.7553191489361702
1,94,24,0.776595744680851
1,94,25,0.7872340425531915
1,94,26,0.7872340425531915
1,94,27,0.7872340425531915
1,94,28,0.7978723404255319
1,94,29,0.8191489361702128
1,94,30,0.8297872340425532
8,108,1,0.24074074074074073
8,108,2,0.28703703703703703
8,108,3,0.2777777777777778
8,108,4,0.2777777777777778
8,108,5,0.3333333333333333
8,108,6,0.3425925925925926
8,108,7,0.3425925925925926
8,108,8,0.35185185185185186
8,108,9,0.3611111111111111
8,108,10,0.39814814814814814
8,108,11,0.4074074074074074
8,108,12,0.4074074074074074
8,108,13,0.42592592592592593
8,108,14,0.4444444444444444
8,108,15,0.4351851851851852
8,108,16,0.46296296296296297
8,108,17,0.5
8,108,18,0.49074074074074076
8,108,19,0.49074074074074076
8,108,20,0.48148148148148145
8,108,21,0.46296296296296297
8,108,22,0.46296296296296297
8,108,23,0.48148148148148145
8,108,24,0.49074074074074076
8,108,25,0.46296296296296297
8,108,26,0.4722222222222222
8,108,27,0.5185185185185185
8,108,28,0.5555555555555556
8,108,29,0.5648148148148148
8,108,30,0.5555555555555556
10,92,1,0.18478260869565216
10,92,2,0.20652173913043478
10,92,3,0.20652173913043478
10,92,4,0.1956521739130435
10,92,5,0.20652173913043478
10,92,6,0.20652173913043478
10,92,7,0.2391304347826087
10,92,8,0.22826086956521738
10,92,9,0.22826086956521738
10,92,10,0.2608695652173913
10,92,11,0.2717391304347826
10,92,12,0.30434782608695654
10,92,13,0.31521739130434784
10,92,14,0.32608695652173914
10,92,15,0.32608695652173914
10,92,16,0.358695652173913
10,92,17,0.3695652173913043
10,92,18,0.40217391304347827
10,92,19,0.43478260869565216
10,92,20,0.43478260869565216
10,92,21,0.44565217391304346
10,92,22,0.4673913043478261
10,92,23,0.5108695652173914
10,92,24,0.5
10,92,25,0.532608695652174
10,92,26,0.532608695652174
10,92,27,0.5543478260869565
10,92,28,0.5543478260869565
10,92,29,0.5760869565217391
10,92,30,0.6195652173913043
13,92,1,0.1956521739130435
13,92,2,0.1956521739130435
13,92,3,0.22826086956521738
13,92,4,0.22826086956521738
13,92,5,0.2608695652173913
13,92,6,0.2608695652173913
13,92,7,0.30434782608695654
13,92,8,0.32608695652173914
13,92,9,0.33695652173913043
13,92,10,0.3804347826086957
13,92,11,0.40217391304347827
13,92,12,0.42391304347826086
13,92,13,0.45652173913043476
13,92,14,0.4782608695652174
13,92,15,0.4891304347826087
13,92,16,0.5108695652173914
13,92,17,0.5217391304347826
13,92,18,0.5869565217391305
13,92,19,0.6195652173913043
13,92,20,0.6304347826086957
13,92,21,0.6521739130434783
13,92,22,0.6956521739130435
13,92,23,0.717391304347826
13,92,24,0.7282608695652174
13,92,25,0.7282608695652174
13,92,26,0.782608695652174
13,92,27,0.7934782608695652
13,92,28,0.7934782608695652
13,92,29,0.8043478260869565
13,92,30,0.8043478260869565
15,96,1,0.21875
15,96,2,0.23958333333333334
15,96,3,0.25
15,96,4,0.28125
15,96,5,0.2916666666666667
15,96,6,0.3229166666666667
15,96,7,0.3645833333333333
15,96,8,0.3854166666666667
15,96,9,0.4166666666666667
15,96,10,0.4166666666666667
15,96,11,0.4583333333333333
15,96,12,0.4583333333333333
15,96,13,0.46875
15,96,14,0.5
15,96,15,0.4791666666666667
15,96,16,0.5104166666666666
15,96,17,0.5416666666666666
15,96,18,0.5625
15,96,19,0.5833333333333334
15,96,20,0.5729166666666666
15,96,21,0.5729166666666666
15,96,22,0.5729166666666666
15,96,23,0.625
15,96,24,0.6770833333333334
15,96,25,0.6666666666666666
15,96,26,0.6770833333333334
15,96,27,0.6979166666666666
15,96,28,0.6979166666666666
15,96,29,0.6979166666666666
15,96,30,0.71875
18,86,1,0.3372093023255814
18,86,2,0.3488372093023256
18,86,3,0.37209302325581395
18,86,4,0.4418604651162791
18,86,5,0.4418604651162791
18,86,6,0.45348837209302323
18,86,7,0.47674418604651164
18,86,8,0.5348837209302325
18,86,9,0.5697674418604651
18,86,10,0.5813953488372093
18,86,11,0.5697674418604651
18,86,12,0.5930232558139535
18,86,13,0.627906976744186
18,86,14,0.627906976744186
18,86,15,0.6395348837209303
18,86,16,0.6395348837209303
18,86,17,0.6744186046511628
18,86,18,0.6976744186046512
18,86,19,0.6744186046511628
18,86,20,0.6976744186046512
18,86,21,0.7209302325581395
18,86,22,0.7209302325581395
18,86,23,0.7441860465116279
18,86,24,0.7558139534883721
18,86,25,0.7790697674418605
18,86,26,0.8023255813953488
18,86,27,0.8023255813953488
18,86,28,0.8255813953488372
18,86,29,0.8372093023255814
18,86,30,0.8604651162790697
23,106,1,0.25471698113207547
23,106,2,0.27358490566037735
23,106,3,0.2641509433962264
23,106,4,0.29245283018867924
23,106,5,0.3113207547169811
23,106,6,0.32075471698113206
23,106,7,0.330188679245283
23,106,8,0.330188679245283
23,106,9,0.3490566037735849
23,106,10,0.330188679245283
23,106,11,0.36792452830188677
23,106,12,0.39622641509433965
23,106,13,0.42452830188679247
23,106,14,0.46226415094339623
23,106,15,0.46226415094339623
23,106,16,0.46226415094339623
23,106,17,0.49056603773584906
23,106,18,0.5283018867924528
23,106,19,0.5660377358490566
23,106,20,0.6226415094339622
23,106,21,0.6226415094339622
23,106,22,0.6509433962264151
23,106,23,0.6415094339622641
23,106,24,0.6792452830188679
23,106,25,0.7264150943396226
23,106,26,0.7264150943396226
23,106,27,0.7264150943396226
23,106,28,0.7452830188679245
23,106,29,0.7735849056603774
23,106,30,0.7735849056603774
27,82,1,0.45121951219512196
27,82,2,0.47560975609756095
27,82,3,0.5
27,82,4,0.4878048780487805
27,82,5,0.524390243902439
27,82,6,0.524390243902439
27,82,7,0.524390243902439
27,82,8,0.524390243902439
27,82,9,0.5365853658536586
27,82,10,0.5609756097560976
27,82,11,0.573170731707317
27,82,12,0.573170731707317
27,82,13,0.6097560975609756
27,82,14,0.6463414634146342
27,82,15,0.6585365853658537
27,82,16,0.6585365853658537
27,82,17,0.6341463414634146
27,82,18,0.6707317073170732
27,82,19,0.6585365853658537
27,82,20,0.6585365853658537
27,82,21,0.6585365853658537
27,82,22,0.6829268292682927
27,82,23,0.6829268292682927
27,82,24,0.6829268292682927
27,82,25,0.6829268292682927
27,82,26,0.6829268292682927
27,82,27,0.6829268292682927
27,82,28,0.6951219512195121
27,82,29,0.7073170731707317
27,82,30,0.6829268292682927
