prefix_length,both_correct,central_only_correct,side_only_correct,both_wrong,same_predicted_class
1,0.19576719576719576,0.06349206349206349,0.10582010582010581,0.6349206349206349,0.5767195767195767
2,0.20105820105820105,0.07936507936507936,0.1164021164021164,0.6031746031746031,0.5608465608465608
3,0.21693121693121692,0.06084656084656084,0.12169312169312169,0.6005291005291006,0.5634920634920635
4,0.23015873015873015,0.0582010582010582,0.12169312169312169,0.58994708994709,0.58994708994709
5,0.24867724867724866,0.06084656084656084,0.1349206349206349,0.5555555555555556,0.58994708994709
6,0.2566137566137566,0.07142857142857142,0.12433862433862433,0.5476190476190477,0.6164021164021164
7,0.25925925925925924,0.082010582010582,0.14814814814814814,0.5105820105820106,0.6111111111111112
8,0.2830687830687831,0.07142857142857142,0.1402116402116402,0.5052910052910053,0.6243386243386243
9,0.30687830687830686,0.06613756613756613,0.13227513227513227,0.4947089947089947,0.6428571428571429
10,0.31216931216931215,0.06613756613756613,0.15079365079365079,0.4708994708994709,0.6349206349206349
11,0.35185185185185186,0.06878306878306878,0.1111111111111111,0.46825396825396826,0.6507936507936508
12,0.3492063492063492,0.07142857142857142,0.13227513227513227,0.4470899470899471,0.6243386243386243
13,0.3835978835978836,0.06878306878306878,0.11375661375661375,0.43386243386243384,0.6534391534391535
14,0.40476190476190477,0.07142857142857142,0.1111111111111111,0.4126984126984127,0.6613756613756614
15,0.4074074074074074,0.0582010582010582,0.1164021164021164,0.41798941798941797,0.6693121693121693
16,0.41534391534391535,0.06084656084656084,0.1349206349206349,0.3888888888888889,0.6507936507936508
17,0.4470899470899471,0.06349206349206349,0.10846560846560846,0.38095238095238093,0.671957671957672
18,0.46825396825396826,0.05555555555555555,0.13227513227513227,0.3439153439153439,0.6613756613756614
19,0.4894179894179894,0.05555555555555555,0.12433862433862433,0.3306878306878307,0.701058201058201
20,0.4947089947089947,0.05555555555555555,0.1349206349206349,0.3148148148148148,0.7063492063492064
21,0.5105820105820106,0.042328042328042326,0.1402116402116402,0.30687830687830686,0.7142857142857143
22,0.5264550264550265,0.05555555555555555,0.13227513227513227,0.2857142857142857,0.7142857142857143
23,0.5529100529100529,0.05555555555555555,0.11904761904761904,0.2724867724867725,0.7433862433862434
24,0.5687830687830688,0.07142857142857142,0.10582010582010581,0.25396825396825395,0.7407407407407407
25,0.5767195767195767,0.07142857142857142,0.10846560846560846,0.24338624338624337,0.746031746031746
26,0.58994708994709,0.0873015873015873,0.08994708994708994,0.2328042328042328,0.7671957671957672
27,0.5978835978835979,0.09523809523809523,0.09259259259259259,0.21428571428571427,0.7592592592592593
28,0.6058201058201058,0.09788359788359788,0.10052910052910052,0.19576719576719576,0.7592592592592593
29,0.6243386243386243,0.09788359788359788,0.09259259259259259,0.18518518518518517,0.7751322751322751
30,0.6296296296296297,0.10052910052910052,0.09523809523809523,0.1746031746031746,0.7619047619047619
