prefix_length,Anger,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
1,0.28703703703703703,0.18518518518518517,0.19444444444444445,0.4166666666666667,0.4444444444444444,0.3333333333333333,0.10185185185185185
2,0.28703703703703703,0.19444444444444445,0.25,0.4351851851851852,0.4722222222222222,0.35185185185185186,0.10185185185185185
3,0.25925925925925924,0.23148148148148148,0.24074074074074073,0.42592592592592593,0.5,0.37037037037037035,0.12962962962962962
4,0.28703703703703703,0.24074074074074073,0.23148148148148148,0.4351851851851852,0.5092592592592593,0.37962962962962965,0.1574074074074074
5,0.2962962962962963,0.25,0.25925925925925924,0.4722222222222222,0.5555555555555556,0.39814814814814814,0.19444444444444445
6,0.28703703703703703,0.25925925925925924,0.26851851851851855,0.48148148148148145,0.5648148148148148,0.42592592592592593,0.19444444444444445
7,0.2962962962962963,0.28703703703703703,0.2777777777777778,0.5,0.5833333333333334,0.46296296296296297,0.21296296296296297
8,0.3055555555555556,0.28703703703703703,0.2777777777777778,0.5185185185185185,0.5740740740740741,0.5,0.25925925925925924
9,0.32407407407407407,0.28703703703703703,0.3055555555555556,0.5370370370370371,0.5833333333333334,0.5277777777777778,0.2777777777777778
10,0.3148148148148148,0.3148148148148148,0.32407407407407407,0.5555555555555556,0.5833333333333334,0.5462962962962963,0.3055555555555556
11,0.3333333333333333,0.32407407407407407,0.3148148148148148,0.5833333333333334,0.6111111111111112,0.5740740740740741,0.35185185185185186
12,0.32407407407407407,0.32407407407407407,0.32407407407407407,0.6111111111111112,0.6018518518518519,0.5925925925925926,0.37962962962962965
13,0.35185185185185186,0.3611111111111111,0.3425925925925926,0.6481481481481481,0.6111111111111112,0.6203703703703703,0.3888888888888889
14,0.3888888888888889,0.3611111111111111,0.35185185185185186,0.6759259259259259,0.6296296296296297,0.6388888888888888,0.42592592592592593
15,0.3611111111111111,0.3611111111111111,0.3425925925925926,0.7037037037037037,0.6203703703703703,0.6481481481481481,0.42592592592592593
16,0.4074074074074074,0.37962962962962965,0.37037037037037035,0.6944444444444444,0.6388888888888888,0.6296296296296297,0.4722222222222222
17,0.3888888888888889,0.3888888888888889,0.39814814814814814,0.7407407407407407,0.6388888888888888,0.6574074074074074,0.5185185185185185
18,0.37962962962962965,0.42592592592592593,0.4537037037037037,0.7777777777777778,0.6574074074074074,0.6851851851851852,0.5555555555555556
19,0.3611111111111111,0.46296296296296297,0.49074074074074076,0.7962962962962963,0.6851851851851852,0.6759259259259259,0.5833333333333334
20,0.3888888888888889,0.46296296296296297,0.48148148148148145,0.8240740740740741,0.6759259259259259,0.6944444444444444,0.6018518518518519
21,0.39814814814814814,0.4722222222222222,0.5,0.8333333333333334,0.6759259259259259,0.7129629629629629,0.6203703703703703
22,0.3888888888888889,0.48148148148148145,0.5185185185185185,0.8425925925925926,0.6944444444444444,0.7222222222222222,0.6944444444444444
23,0.4074074074074074,0.5092592592592593,0.5092592592592593,0.8796296296296297,0.6851851851851852,0.7777777777777778,0.7129629629629629
24,0.4074074074074074,0.5462962962962963,0.5462962962962963,0.8888888888888888,0.7037037037037037,0.7870370370370371,0.7222222222222222
25,0.42592592592592593,0.5740740740740741,0.5370370370370371,0.8796296296296297,0.7222222222222222,0.7962962962962963,0.7314814814814815
26,0.42592592592592593,0.6018518518518519,0.5277777777777778,0.8888888888888888,0.7407407407407407,0.7962962962962963,0.7685185185185185
27,0.4444444444444444,0.5925925925925926,0.5648148148148148,0.9074074074074074,0.7314814814814815,0.7870370370370371,0.8148148148148148
28,0.4722222222222222,0.6018518518518519,0.5925925925925926,0.9166666666666666,0.75,0.7962962962962963,0.8055555555555556
29,0.4537037037037037,0.6481481481481481,0.6203703703703703,0.9166666666666666,0.7592592592592593,0.8333333333333334,0.8055555555555556
30,0.46296296296296297,0.6851851851851852,0.6574074074074074,0.9166666666666666,0.75,0.8148148148148148,0.8055555555555556
