epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.28630706667900085,0.0005000000237487257,1.6684083938598633,0.4272727370262146,1.6920987367630005
1,0.3998962640762329,0.0005000000237487257,1.4596132040023804,0.6194804906845093,1.5222959518432617
2,0.5414937734603882,0.0005000000237487257,1.3274967670440674,0.8077921867370605,1.4072014093399048
3,0.6509336233139038,0.0005000000237487257,1.23012113571167,0.8428571224212646,1.3106359243392944
4,0.7323651313781738,0.0005000000237487257,1.139933466911316,0.84935063123703,1.2171452045440674
5,0.8029045462608337,0.0005000000237487257,1.0418823957443237,0.8519480228424072,1.1336413621902466
6,0.8189833760261536,0.0005000000237487257,0.9828760027885437,0.8558441400527954,1.0572541952133179
7,0.8459543585777283,0.0005000000237487257,0.9217734336853027,0.8532467484474182,0.9889498353004456
8,0.8625518679618835,0.0005000000237487257,0.8528339862823486,0.8545454740524292,0.925517201423645
9,0.8744813203811646,0.0005000000237487257,0.8115612268447876,0.8519480228424072,0.8682108521461487
10,0.8941908478736877,0.0005000000237487257,0.7394620180130005,0.8532467484474182,0.8153725266456604
11,0.9019709825515747,0.0005000000237487257,0.6843138933181763,0.8558441400527954,0.7697765827178955
12,0.9061203598976135,0.0005000000237487257,0.6549898982048035,0.8597402572631836,0.7291466593742371
13,0.9071576595306396,0.0005000000237487257,0.6092028021812439,0.8558441400527954,0.6935499310493469
14,0.910788357257843,0.0005000000237487257,0.5838104486465454,0.8584415316581726,0.6625898480415344
15,0.9175311326980591,0.0005000000237487257,0.5401265621185303,0.8610389828681946,0.6318808197975159
16,0.91856849193573,0.0005000000237487257,0.5178917646408081,0.8597402572631836,0.6064696907997131
17,0.9320539236068726,0.0005000000237487257,0.48988771438598633,0.8623376488685608,0.5838607549667358
18,0.9196057915687561,0.0005000000237487257,0.472389280796051,0.8623376488685608,0.5629082322120667
19,0.9284232258796692,0.0005000000237487257,0.45231589674949646,0.8610389828681946,0.5463491678237915
20,0.9320539236068726,0.0005000000237487257,0.43974363803863525,0.8584415316581726,0.5329642295837402
21,0.9273858666419983,0.0005000000237487257,0.41320690512657166,0.8571428656578064,0.5233977437019348
22,0.91856849193573,0.0005000000237487257,0.4167422950267792,0.8597402572631836,0.5089886784553528
23,0.9263485670089722,0.0005000000237487257,0.3821116089820862,0.8584415316581726,0.49915558099746704
24,0.9237551689147949,0.0005000000237487257,0.3740430474281311,0.8597402572631836,0.48575571179389954
25,0.9336099624633789,0.0005000000237487257,0.3494832515716553,0.8597402572631836,0.4811396300792694
26,0.932572603225708,0.0005000000237487257,0.3593505918979645,0.8597402572631836,0.4736291766166687
27,0.9351660013198853,0.0005000000237487257,0.34484195709228516,0.8597402572631836,0.4695734977722168
28,0.9320539236068726,0.0005000000237487257,0.35542523860931396,0.8610389828681946,0.46066486835479736
29,0.9263485670089722,0.0005000000237487257,0.3532269299030304,0.8623376488685608,0.45041191577911377
30,0.9268672466278076,0.0005000000237487257,0.3277949094772339,0.8610389828681946,0.4536325931549072
31,0.9351660013198853,0.0005000000237487257,0.3057481348514557,0.8623376488685608,0.4461534321308136
32,0.9310166239738464,0.0005000000237487257,0.3047589957714081,0.8597402572631836,0.4488539397716522
33,0.9320539236068726,0.0005000000237487257,0.3076550364494324,0.8610389828681946,0.4401077330112457
34,0.9346473217010498,0.0005000000237487257,0.29580754041671753,0.8623376488685608,0.43302109837532043
35,0.9294605851173401,0.0005000000237487257,0.2994348406791687,0.8610389828681946,0.4333760142326355
36,0.9253112077713013,0.0005000000237487257,0.29631707072257996,0.8636363744735718,0.4322153925895691
