subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Anger,Anger,20,108,0.36387981587333335
all,Anger,Disgust,20,108,0.3045210564212963
all,Anger,Fear,20,108,0.09575872452759258
all,Anger,Happiness,20,108,0.06584328259222222
all,Anger,Neutral,20,108,0.11851650460157404
all,Anger,Sadness,20,108,0.04284010747333336
all,Anger,Surprise,20,108,0.008640506577222222
all,Anger,Anger,21,108,0.36531798327888904
all,Anger,Disgust,21,108,0.32263480998425914
all,Anger,Fear,21,108,0.08812798329750002
all,Anger,Happiness,21,108,0.06134864530342593
all,Anger,Neutral,21,108,0.11237329716564821
all,Anger,Sadness,21,108,0.04113247144416668
all,Anger,Surprise,21,108,0.009064824506296296
all,Anger,Anger,22,108,0.3686875003492592
all,Anger,Disgust,22,108,0.3359850479358333
all,Anger,Fear,22,108,0.07814267177499998
all,Anger,Happiness,22,108,0.05845436182740741
all,Anger,Neutral,22,108,0.10716063519990747
all,Anger,Sadness,22,108,0.04053262570805557
all,Anger,Surprise,22,108,0.011037165604074072
all,Anger,Anger,23,108,0.36866699886694443
all,Anger,Disgust,23,108,0.3523283610043516
all,Anger,Fear,23,108,0.068555375565
all,Anger,Happiness,23,108,0.05157723962064814
all,Anger,Neutral,23,108,0.10672914481370374
all,Anger,Sadness,23,108,0.03862570157574078
all,Anger,Surprise,23,108,0.01351718334796296
all,Anger,Anger,24,108,0.37730792296879634
all,Anger,Disgust,24,108,0.3633281434805556
all,Anger,Fear,24,108,0.06311933123009257
all,Anger,Happiness,24,108,0.046813730881111106
all,Anger,Neutral,24,108,0.09204861440120374
all,Anger,Sadness,24,108,0.04282523137101851
all,Anger,Surprise,24,108,0.014557022701111111
all,Anger,Anger,25,108,0.38112855013240743
all,Anger,Disgust,25,108,0.3844845182024074
all,Anger,Fear,25,108,0.05698141028287038
all,Anger,Happiness,25,108,0.04127508121148148
all,Anger,Neutral,25,108,0.08069338017824076
all,Anger,Sadness,25,108,0.04453966564805555
all,Anger,Surprise,25,108,0.010897398841944449
all,Anger,Anger,26,108,0.38566487704842595
all,Anger,Disgust,26,108,0.3952918112837036
all,Anger,Fear,26,108,0.05060019400407408
all,Anger,Happiness,26,108,0.03684270491157408
all,Anger,Neutral,26,108,0.07648292397175929
