category,2/3,3/3,delta_3_minus_2_pp
Anger,0.35714285714285715,0.575,21.78571428571428
Disgust,0.5769230769230769,0.5714285714285714,-0.5494505494505475
Fear,0.6,0.5789473684210527,-2.1052631578947323
Happiness,,1.0,
Neutral,1.0,0.9148936170212766,-8.510638297872342
Sadness,0.8571428571428571,0.9148936170212766,5.775075987841949
Surprise,1.0,0.95,-5.000000000000004
