modality,agreement,n,accuracy,macro_f1,weighted_f1,classes_with_support,macro_f1_common_labels
Image,2/3,206,0.5970873786407767,0.5205853705862159,0.6272201006572964,6,0.6073495990172519
Image,3/3,550,0.7763636363636364,0.7544382625366604,0.7822577920581606,7,0.730177972959437
FEA,2/3,103,0.6601941747572816,0.5951159951159951,0.6650485436893204,6,0.6943019943019944
FEA,3/3,275,0.8290909090909091,0.7903811217094425,0.829786979751892,7,0.7721113086610164
Multimodal,2/3,206,0.6990291262135923,0.6244081381945688,0.7151549256943025,6,0.7284761612269969
Multimodal,3/3,550,0.86,0.8350034150318008,0.8620610661234146,7,0.822271916693219
