modality,source,target,n_2,errors_2,rate_2,n_3,errors_3,rate_3,total_errors,rate_delta_2_minus_3_pp,two_vote_share_in_errors,two_vote_share_in_source,minority_matches,minority_match_rate_among_two_vote_errors,error_participants
Image,Sadness,Anger,14,1,0.07142857142857142,94,14,0.14893617021276595,15,-7.750759878419452,0.06666666666666667,0.12962962962962962,1,1.0,5
Image,Neutral,Anger,14,4,0.2857142857142857,94,8,0.0851063829787234,12,20.06079027355623,0.3333333333333333,0.12962962962962962,0,0.0,3
Image,Neutral,Sadness,14,0,0.0,94,10,0.10638297872340426,10,-10.638297872340425,0.0,0.12962962962962962,0,,2
Image,Disgust,Anger,52,8,0.15384615384615385,56,0,0.0,8,15.384615384615385,1.0,0.48148148148148145,5,0.625,4
Image,Fear,Happiness,70,6,0.08571428571428572,38,2,0.05263157894736842,8,3.3082706766917296,0.75,0.6481481481481481,0,0.0,3
Image,Fear,Surprise,70,7,0.1,38,0,0.0,7,10.0,1.0,0.6481481481481481,7,1.0,2
Image,Happiness,Anger,0,0,,108,6,0.05555555555555555,6,,0.0,0.0,0,,2
Image,Anger,Neutral,28,3,0.10714285714285714,80,2,0.025,5,8.214285714285714,0.6,0.25925925925925924,2,0.6666666666666666,3
Image,Fear,Neutral,70,3,0.04285714285714286,38,1,0.02631578947368421,4,1.6541353383458648,0.75,0.6481481481481481,0,0.0,1
Image,Neutral,Happiness,14,3,0.21428571428571427,94,1,0.010638297872340425,4,20.364741641337385,0.75,0.12962962962962962,3,1.0,1
Image,Anger,Fear,28,2,0.07142857142857142,80,1,0.0125,3,5.892857142857142,0.6666666666666666,0.25925925925925924,0,0.0,3
Image,Anger,Happiness,28,2,0.07142857142857142,80,1,0.0125,3,5.892857142857142,0.6666666666666666,0.25925925925925924,0,0.0,2
Image,Disgust,Fear,52,2,0.038461538461538464,56,1,0.017857142857142856,3,2.0604395604395607,0.6666666666666666,0.48148148148148145,2,1.0,2
Image,Disgust,Sadness,52,3,0.057692307692307696,56,0,0.0,3,5.769230769230769,1.0,0.48148148148148145,1,0.3333333333333333,2
Image,Sadness,Disgust,14,1,0.07142857142857142,94,2,0.02127659574468085,3,5.015197568389057,0.3333333333333333,0.12962962962962962,0,0.0,3
