modality,agreement_scope,n_classes,pearson_r,spearman_rho
Image,all retained splits,7,0.713148418663178,0.7857142857142859
Image,test split,7,0.512455936853071,0.7637626158259735
FEA,all retained splits,7,0.8703909447921243,0.7500000000000002
FEA,test split,7,0.7491388086914429,0.6546536707079773
Multimodal,all retained splits,7,0.7049679448558575,0.7500000000000002
Multimodal,test split,7,0.5243568159735926,0.7092081432669753
