category,all_dataset_n,all_dataset_percent_3_of_3,test_reenactments,test_percent_3_of_3,image_recall,fea_recall,multimodal_recall
Anger,175,56.57142857142857,54,74.07407407407408,0.46296296296296297,0.5185185185185185,0.5555555555555556
Disgust,211,54.976303317535546,54,51.851851851851855,0.6851851851851852,0.5740740740740741,0.6666666666666666
Fear,214,39.7196261682243,54,35.18518518518518,0.6574074074074074,0.5925925925925926,0.8148148148148148
Happiness,300,97.0,54,100.0,0.9166666666666666,1.0,1.0
Neutral,306,87.90849673202614,54,87.03703703703704,0.75,0.9259259259259259,0.9444444444444444
Sadness,240,74.16666666666667,54,87.03703703703704,0.8148148148148148,0.9074074074074074,0.9259259259259259
Surprise,281,72.95373665480427,54,74.07407407407408,0.8055555555555556,0.9629629629629629,0.8055555555555556
