category,2/3,3/3,delta_3_minus_2_pp
Anger,0.39285714285714285,0.6125,21.96428571428572
Disgust,0.5961538461538461,0.7321428571428571,13.598901098901095
Fear,0.8428571428571429,0.7631578947368421,-7.969924812030071
Happiness,,1.0,
Neutral,0.9285714285714286,0.9468085106382979,1.8237082066869248
Sadness,0.8571428571428571,0.9361702127659575,7.902735562310037
Surprise,0.6428571428571429,0.8625,21.964285714285715
