modality,participant_id,size_2/3,size_3/3,mean_2/3,mean_3/3,contrast_3_minus_2_pp
Image,1,24,70,0.6666666666666666,0.8857142857142857,21.904761904761905
Image,8,26,82,0.8846153846153846,0.45121951219512196,-43.33958724202626
Image,10,32,60,0.34375,0.7666666666666667,42.29166666666667
Image,13,24,68,0.7083333333333334,0.8382352941176471,12.99019607843137
Image,15,22,74,0.6363636363636364,0.7432432432432432,10.687960687960684
Image,18,14,72,0.7142857142857143,0.8888888888888888,17.460317460317455
Image,23,36,70,0.6944444444444444,0.8142857142857143,11.984126984126986
Image,27,28,54,0.25,0.9074074074074074,65.74074074074075
FEA,1,12,35,0.5,0.8,30.000000000000004
FEA,8,13,41,0.9230769230769231,0.6585365853658537,-26.454033771106943
FEA,10,16,30,0.8125,0.8,-1.2499999999999956
FEA,13,12,34,0.9166666666666666,0.9411764705882353,2.450980392156865
FEA,15,11,37,0.18181818181818182,0.7567567567567568,57.49385749385749
FEA,18,7,36,1.0,1.0,0.0
FEA,23,18,35,0.6666666666666666,0.8571428571428571,19.047619047619047
FEA,27,14,27,0.35714285714285715,0.8518518518518519,49.47089947089947
Multimodal,1,24,70,0.6666666666666666,0.9285714285714286,26.190476190476197
Multimodal,8,26,82,0.9230769230769231,0.6341463414634146,-28.893058161350847
Multimodal,10,32,60,0.5625,0.8166666666666667,25.416666666666664
Multimodal,13,24,68,0.7916666666666666,0.9264705882352942,13.480392156862752
Multimodal,15,22,74,0.6363636363636364,0.8243243243243243,18.7960687960688
Multimodal,18,14,72,0.8571428571428571,0.9861111111111112,12.896825396825406
Multimodal,23,36,70,0.7777777777777778,0.9,12.222222222222223
Multimodal,27,28,54,0.4642857142857143,0.9074074074074074,44.31216931216932
