class,n,recall_t1,recall_t10,recall_t20,recall_t30,mean_true_probability_t1,mean_true_probability_t30,never_correct,earlier_correct_final_wrong,median_stable_prefix_final_correct
Anger,54,0.18518518518518517,0.2777777777777778,0.48148148148148145,0.5185185185185185,0.1893752934814815,0.47554653311481476,19,7,12.0
Disgust,54,0.07407407407407407,0.2222222222222222,0.3148148148148148,0.5555555555555556,0.14126494114814817,0.5252149683581482,22,2,17.5
Fear,54,0.2222222222222222,0.37037037037037035,0.5185185185185185,0.6111111111111112,0.20904820296296295,0.5063188834629629,11,10,9.0
Happiness,54,0.4074074074074074,0.6481481481481481,0.9444444444444444,1.0,0.31763483835185186,0.9990899935185185,0,0,5.5
Neutral,54,0.7407407407407407,0.7962962962962963,0.8888888888888888,0.9444444444444444,0.24378912607407402,0.8548382656666665,0,3,1.0
Sadness,54,0.3148148148148148,0.5185185185185185,0.7222222222222222,0.8888888888888888,0.23859609560000003,0.8581595829351852,5,1,8.0
Surprise,54,0.09259259259259259,0.3888888888888889,0.7037037037037037,0.9629629629629629,0.1720194531851852,0.8235680157407406,1,1,16.0
