participant_id,n_sequences,prefix_length,accuracy
1,47,1,0.3191489361702128
1,47,2,0.3191489361702128
1,47,3,0.3404255319148936
1,47,4,0.3404255319148936
1,47,5,0.3617021276595745
1,47,6,0.3617021276595745
1,47,7,0.40425531914893614
1,47,8,0.3829787234042553
1,47,9,0.40425531914893614
1,47,10,0.44680851063829785
1,47,11,0.44680851063829785
1,47,12,0.46808510638297873
1,47,13,0.46808510638297873
1,47,14,0.46808510638297873
1,47,15,0.46808510638297873
1,47,16,0.48936170212765956
1,47,17,0.5531914893617021
1,47,18,0.5531914893617021
1,47,19,0.5957446808510638
1,47,20,0.5957446808510638
1,47,21,0.6595744680851063
1,47,22,0.7021276595744681
1,47,23,0.7021276595744681
1,47,24,0.723404255319149
1,47,25,0.7446808510638298
1,47,26,0.723404255319149
1,47,27,0.7446808510638298
1,47,28,0.7446808510638298
1,47,29,0.7446808510638298
1,47,30,0.723404255319149
8,54,1,0.24074074074074073
8,54,2,0.2777777777777778
8,54,3,0.2962962962962963
8,54,4,0.2962962962962963
8,54,5,0.37037037037037035
8,54,6,0.3888888888888889
8,54,7,0.3888888888888889
8,54,8,0.4074074074074074
8,54,9,0.4444444444444444
8,54,10,0.46296296296296297
8,54,11,0.46296296296296297
8,54,12,0.48148148148148145
8,54,13,0.48148148148148145
8,54,14,0.48148148148148145
8,54,15,0.5
8,54,16,0.5
8,54,17,0.5370370370370371
8,54,18,0.5925925925925926
8,54,19,0.6111111111111112
8,54,20,0.6296296296296297
8,54,21,0.6296296296296297
8,54,22,0.6666666666666666
8,54,23,0.6666666666666666
8,54,24,0.6666666666666666
8,54,25,0.6851851851851852
8,54,26,0.7037037037037037
8,54,27,0.7222222222222222
8,54,28,0.7222222222222222
8,54,29,0.7222222222222222
8,54,30,0.7222222222222222
10,46,1,0.2391304347826087
10,46,2,0.21739130434782608
10,46,3,0.21739130434782608
10,46,4,0.2391304347826087
10,46,5,0.2608695652173913
10,46,6,0.2608695652173913
10,46,7,0.2608695652173913
10,46,8,0.30434782608695654
10,46,9,0.30434782608695654
10,46,10,0.30434782608695654
10,46,11,0.32608695652173914
10,46,12,0.3695652173913043
10,46,13,0.391304347826087
10,46,14,0.3695652173913043
10,46,15,0.391304347826087
10,46,16,0.43478260869565216
10,46,17,0.43478260869565216
10,46,18,0.4782608695652174
10,46,19,0.5
10,46,20,0.5
10,46,21,0.5217391304347826
10,46,22,0.5869565217391305
10,46,23,0.5869565217391305
10,46,24,0.6086956521739131
10,46,25,0.6304347826086957
10,46,26,0.6956521739130435
10,46,27,0.717391304347826
10,46,28,0.7391304347826086
10,46,29,0.782608695652174
10,46,30,0.8043478260869565
13,46,1,0.2391304347826087
13,46,2,0.2608695652173913
13,46,3,0.2826086956521739
13,46,4,0.34782608695652173
13,46,5,0.34782608695652173
13,46,6,0.3695652173913043
13,46,7,0.391304347826087
13,46,8,0.391304347826087
13,46,9,0.43478260869565216
13,46,10,0.45652173913043476
13,46,11,0.45652173913043476
13,46,12,0.45652173913043476
13,46,13,0.45652173913043476
13,46,14,0.4782608695652174
13,46,15,0.5434782608695652
13,46,16,0.5652173913043478
13,46,17,0.5652173913043478
13,46,18,0.5869565217391305
13,46,19,0.6304347826086957
13,46,20,0.6956521739130435
13,46,21,0.7391304347826086
13,46,22,0.7391304347826086
13,46,23,0.8043478260869565
13,46,24,0.8478260869565217
13,46,25,0.8913043478260869
13,46,26,0.8913043478260869
13,46,27,0.8913043478260869
13,46,28,0.9130434782608695
13,46,29,0.9347826086956522
13,46,30,0.9347826086956522
15,48,1,0.3125
15,48,2,0.3333333333333333
15,48,3,0.3541666666666667
15,48,4,0.375
15,48,5,0.3958333333333333
15,48,6,0.375
15,48,7,0.375
15,48,8,0.375
15,48,9,0.3958333333333333
15,48,10,0.3958333333333333
15,48,11,0.4166666666666667
15,48,12,0.4166666666666667
15,48,13,0.4583333333333333
15,48,14,0.4583333333333333
15,48,15,0.4583333333333333
15,48,16,0.5
15,48,17,0.5416666666666666
15,48,18,0.5416666666666666
15,48,19,0.5416666666666666
15,48,20,0.5625
15,48,21,0.5625
15,48,22,0.5625
15,48,23,0.5625
15,48,24,0.5625
15,48,25,0.5625
15,48,26,0.5625
15,48,27,0.5833333333333334
15,48,28,0.625
15,48,29,0.6666666666666666
15,48,30,0.625
18,43,1,0.3953488372093023
18,43,2,0.4186046511627907
18,43,3,0.46511627906976744
18,43,4,0.4418604651162791
18,43,5,0.5116279069767442
18,43,6,0.5581395348837209
18,43,7,0.5581395348837209
18,43,8,0.6046511627906976
18,43,9,0.6046511627906976
18,43,10,0.6744186046511628
18,43,11,0.7209302325581395
18,43,12,0.7209302325581395
18,43,13,0.7209302325581395
18,43,14,0.7441860465116279
18,43,15,0.7674418604651163
18,43,16,0.8372093023255814
18,43,17,0.8372093023255814
18,43,18,0.8372093023255814
18,43,19,0.8837209302325582
18,43,20,0.9069767441860465
18,43,21,0.9302325581395349
18,43,22,0.9302325581395349
18,43,23,0.9534883720930233
18,43,24,0.9534883720930233
18,43,25,0.9767441860465116
18,43,26,0.9767441860465116
18,43,27,0.9767441860465116
18,43,28,0.9767441860465116
18,43,29,0.9767441860465116
18,43,30,0.9767441860465116
23,53,1,0.2641509433962264
23,53,2,0.2641509433962264
23,53,3,0.2830188679245283
23,53,4,0.3018867924528302
23,53,5,0.3018867924528302
23,53,6,0.32075471698113206
23,53,7,0.33962264150943394
23,53,8,0.3584905660377358
23,53,9,0.37735849056603776
23,53,10,0.39622641509433965
23,53,11,0.39622641509433965
23,53,12,0.41509433962264153
23,53,13,0.4528301886792453
23,53,14,0.4716981132075472
23,53,15,0.4716981132075472
23,53,16,0.5094339622641509
23,53,17,0.5094339622641509
23,53,18,0.5094339622641509
23,53,19,0.6037735849056604
23,53,20,0.6226415094339622
23,53,21,0.6415094339622641
23,53,22,0.6792452830188679
23,53,23,0.6981132075471698
23,53,24,0.7169811320754716
23,53,25,0.7547169811320755
23,53,26,0.7924528301886793
23,53,27,0.7735849056603774
23,53,28,0.7735849056603774
23,53,29,0.7924528301886793
23,53,30,0.7924528301886793
27,41,1,0.34146341463414637
27,41,2,0.36585365853658536
27,41,3,0.4634146341463415
27,41,4,0.43902439024390244
27,41,5,0.43902439024390244
27,41,6,0.4878048780487805
27,41,7,0.4878048780487805
27,41,8,0.5121951219512195
27,41,9,0.5609756097560976
27,41,10,0.5853658536585366
27,41,11,0.6097560975609756
27,41,12,0.5853658536585366
27,41,13,0.5853658536585366
27,41,14,0.6097560975609756
27,41,15,0.6585365853658537
27,41,16,0.6585365853658537
27,41,17,0.7073170731707317
27,41,18,0.7073170731707317
27,41,19,0.7317073170731707
27,41,20,0.7560975609756098
27,41,21,0.7804878048780488
27,41,22,0.7560975609756098
27,41,23,0.7560975609756098
27,41,24,0.7804878048780488
27,41,25,0.7560975609756098
27,41,26,0.7560975609756098
27,41,27,0.7560975609756098
27,41,28,0.7560975609756098
27,41,29,0.7317073170731707
27,41,30,0.7073170731707317
