,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Anger,0.1893752934814815,0.20092015436111108,0.20347702346240748,0.21462858779703708,0.22679588763074074,0.23196183543474072,0.23581737699674069,0.24906576691740745,0.25825592061370367,0.2656243174462963,0.27802108921222224,0.28775045223370366,0.3053744774661111,0.32911039394648145,0.3493871366707406,0.3683260302705556,0.3747832085164815,0.3817405022833333,0.41188975612129636,0.4362534548388889,0.46322106925629636,0.4714745801685186,0.48345852310425924,0.4933550096172222,0.49471674733814813,0.4889615460685185,0.48496678365648144,0.4862865413259258,0.48403248977314817,0.4755465331148148
Disgust,0.14126494114814814,0.11822463522037036,0.11934466897962961,0.1257782570862963,0.13284881115185185,0.14303938316944445,0.1603980573925926,0.17945379043944445,0.19339950148555557,0.207431387035,0.21188834235203705,0.21568643281888886,0.223353550812037,0.2456071055905556,0.2688159094235185,0.2766268017387038,0.2838925741898148,0.29737533110296294,0.3206449405290741,0.3477802103133333,0.387652927340926,0.4183727923427779,0.4432690748446296,0.4627878771133333,0.47706423267314824,0.4852500139990741,0.49157343633555545,0.5112685100335185,0.5182158277638889,0.5252149683581483
Fear,0.20904820296296298,0.23228894199629627,0.24579551477111108,0.2617679521838889,0.27214301054518514,0.28123990027111107,0.2921925204390741,0.30460124112796305,0.3146612010425926,0.3207546035338889,0.32702661634907415,0.3350579208372223,0.3371386910277408,0.33898503028307414,0.34724391657592596,0.37371491087081493,0.39227392691666657,0.39895174473333317,0.40516224627777786,0.4126940306379629,0.4246422405370371,0.4359467652351852,0.44945375433148166,0.47348808762222205,0.4849062840277779,0.4949368928925925,0.5080353289685186,0.5116515569074074,0.5088145226944446,0.5063188834629628
Happiness,0.3176348383518518,0.40165741167407415,0.4419604503581481,0.4700422060457407,0.5018243659607036,0.5408570517767779,0.5723436774085185,0.5913549735357407,0.6154089594957406,0.6557526653537037,0.6903389096516667,0.7145503723046296,0.7395034234303706,0.7563468692240739,0.7873260263018518,0.8452699129074075,0.8706493352777779,0.8818778381222224,0.9114588496851853,0.9320283771111112,0.9470693981481482,0.9731605407407407,0.9902684225925925,0.9962145061111113,0.998271007407407,0.9988589872222221,0.999067461851852,0.9991516398148145,0.9991657894444442,0.9990899935185183
Neutral,0.24378912607407402,0.35330286163518504,0.45585623342111103,0.5291010191805,0.5771724110356111,0.6142388815172962,0.6351992712572224,0.6464772922827592,0.6611268117835741,0.6766927450291204,0.6903405395614443,0.6999395504505926,0.7067849913090557,0.7135255585641389,0.7219319008053888,0.7334728160228892,0.7471826243490741,0.7641445970881479,0.7800296035481482,0.7949643025000002,0.8082250171666667,0.8203489607962964,0.8335760824259258,0.8460268631481479,0.8552482504999999,0.8635705132592592,0.8656079451851849,0.8644966818518519,0.862428564259259,0.8548382656666663
Sadness,0.23859609560000003,0.3127646098262964,0.3497065606612963,0.3748218870677776,0.4048958445945739,0.4168639218592593,0.4315717007966666,0.4489779297250556,0.4712101709987221,0.49672976792270374,0.5332577487343149,0.5628855439335555,0.5791338605748704,0.5927926315289815,0.6039038051937036,0.6155290986470369,0.6344555706151852,0.660043870307222,0.6777977314911112,0.7033378265109261,0.7405940121740742,0.7749356612350004,0.7994341174418521,0.8143355322464815,0.8290952654181479,0.8418324079809261,0.8513819279259257,0.8591508939166667,0.8631393100870371,0.8581595829351853
Surprise,0.1720194531851852,0.19273681705555562,0.21041276488518512,0.22456301270185183,0.25242038973925934,0.2751880456562963,0.28514747441481486,0.3066563108268519,0.3293680356470371,0.36611747456296295,0.39924838410351854,0.42457296492537044,0.443853113637963,0.45837270501166666,0.47097117805000005,0.4966306144553703,0.5391273344827778,0.5793108870153705,0.607415931194815,0.628110938407963,0.6456609605364814,0.6699550683333333,0.6986494311111114,0.7208406306111113,0.7505209380185186,0.7742696781481478,0.789296959259259,0.8035675357407408,0.8142222624074078,0.8235680157407406
