true_label,rank,fea_name,raw_difference_incorrect_minus_correct,sd_scaled_difference,abs_sd_scaled_difference,is_paper_relevant_fea
Anger,1,LipTightenerR,-0.11655541252989736,-2.0574055769975224,2.0574055769975224,True
Anger,2,LipTightenerL,-0.11607436065466627,-1.9695476030698236,1.9695476030698236,True
Anger,3,NoseWrinklerL,0.26327107747801354,1.525112407273494,1.525112407273494,True
Anger,4,NoseWrinklerR,0.2655590887610686,1.5155958639660916,1.5155958639660916,True
Anger,5,CheekPuffR,-0.015030795091738257,-1.4122980565041938,1.4122980565041938,False
Anger,6,CheekPuffL,-0.011475598582603979,-1.207907941910392,1.207907941910392,False
Anger,7,MouthRight,0.008481267665112268,1.166606794887493,1.166606794887493,False
Anger,8,UpperLipRaiserR,0.19608240888430722,1.0219900487420899,1.0219900487420899,True
Anger,9,UpperLipRaiserL,0.18239627319565754,0.9945676708058959,0.9945676708058959,True
Anger,10,EyesLookUpL,-0.09544980278720858,-0.9202030152611784,0.9202030152611784,False
Anger,11,EyesLookUpR,-0.09553018622810326,-0.9196126158591807,0.9196126158591807,False
Anger,12,LipPressorL,0.040361759742352156,0.9109649117445016,0.9109649117445016,True
Anger,13,LipPressorR,0.04053032240396798,0.9080572905613258,0.9080572905613258,True
Anger,14,ChinRaiserB,-0.1670244340043455,-0.8118856782020212,0.8118856782020212,True
Anger,15,EyesLookDownR,0.03482867214512986,0.7723317876826384,0.7723317876826384,False
Anger,16,JawSidewaysLeft,-0.01639950270730727,-0.7696923765661061,0.7696923765661061,False
Anger,17,EyesClosedL,0.08167141645829754,0.7536447835635589,0.7536447835635589,False
Anger,18,BrowLowererR,0.10563648715627255,0.7481602830858004,0.7481602830858004,True
Anger,19,BrowLowererL,0.10481693186465299,0.7171332831098506,0.7171332831098506,True
Anger,20,EyesLookDownL,0.026849867860827943,0.7047705086358167,0.7047705086358167,False
Anger,21,JawSidewaysRight,-0.01866328483557655,-0.6870940550715294,0.6870940550715294,False
Anger,22,EyesClosedR,0.0718585251981269,0.680977472546327,0.680977472546327,False
Anger,23,MouthLeft,0.00778588096318427,0.652444051838271,0.652444051838271,False
Anger,24,LipStretcherR,0.07209167311126465,0.6349134654359632,0.6349134654359632,True
Anger,25,LidTightenerL,-0.11051614874319038,-0.6140438477607897,0.6140438477607897,True
Anger,26,LipStretcherL,0.06619024832345255,0.613838073421048,0.613838073421048,True
Anger,27,JawDrop,0.1065746938715266,0.5968894269477656,0.5968894269477656,True
Anger,28,DimplerR,0.0657908106417955,0.5779842158219622,0.5779842158219622,False
Anger,29,DimplerL,0.06419903564741827,0.5613506472496883,0.5613506472496883,False
Anger,30,ChinRaiserT,-0.1056932973193947,-0.5585335269028091,0.5585335269028091,True
Anger,31,LowerLipDepressorL,0.06605702518839877,0.5519624539837767,0.5519624539837767,True
Anger,32,LowerLipDepressorR,0.06340670187193347,0.5433229740763003,0.5433229740763003,True
Anger,33,CheekRaiserL,0.11437542425033861,0.5359393238006076,0.5359393238006076,True
Anger,34,CheekRaiserR,0.11097777532863604,0.5358365601339559,0.5358365601339559,True
Anger,35,LipSuckLB,0.052987871507476636,0.45191513931979177,0.45191513931979177,False
Anger,36,LipSuckRB,0.045484421153523746,0.43656639677278264,0.43656639677278264,False
Anger,37,LipFunnelerRT,-0.016039590808333434,-0.39564706120469095,0.39564706120469095,True
Anger,38,LipPuckerR,-0.042329683094060946,-0.3948147064565684,0.3948147064565684,False
Anger,39,LipFunnelerLT,-0.015961128891721077,-0.3945627901486495,0.3945627901486495,True
Anger,40,LipPuckerL,-0.04247402872470911,-0.39358428264915724,0.39358428264915724,False
Anger,41,EyesLookRightR,0.023345463241875534,0.35161400541780224,0.35161400541780224,False
Anger,42,LidTightenerR,-0.06468851573633266,-0.3440424912964606,0.3440424912964606,True
Anger,43,EyesLookRightL,0.027390996951704938,0.2970868590249807,0.2970868590249807,False
Anger,44,LipSuckLT,0.018234418321185074,0.25188154663425144,0.25188154663425144,False
Anger,45,LipSuckRT,0.016819377946542154,0.24942718536812136,0.24942718536812136,False
Anger,46,LipsToward,0.010249167807649853,0.24277076010113294,0.24277076010113294,False
Anger,47,UpperLidRaiserL,0.034440381072806295,0.19244192557680537,0.19244192557680537,True
Anger,48,UpperLidRaiserR,0.039905704029158384,0.18546192714876036,0.18546192714876036,True
Anger,49,InnerBrowRaiserR,-0.02321086545161779,-0.14768572396604632,0.14768572396604632,True
Anger,50,InnerBrowRaiserL,-0.015402446538970396,-0.10030096841578023,0.10030096841578023,True
Anger,51,EyesLookLeftR,-0.010019306209060122,-0.0936977825015455,0.0936977825015455,False
Anger,52,LipCornerDepressorL,0.013953897809987119,0.08376543276785064,0.08376543276785064,True
Anger,53,LipCornerDepressorR,0.012173871649526866,0.07533772577701922,0.07533772577701922,True
Anger,54,EyesLookLeftL,-0.0052320225774035375,-0.06445631903225274,0.06445631903225274,False
Anger,55,JawThrust,-0.0037701387485569657,-0.05551076829375953,0.05551076829375953,False
Anger,56,OuterBrowRaiserR,0.00868220209247255,0.05419075630267845,0.05419075630267845,True
Anger,57,LipFunnelerRB,-0.0023989482916604277,-0.04829820633616191,0.04829820633616191,True
Anger,58,OuterBrowRaiserL,0.007328237960679804,0.04673197751923655,0.04673197751923655,True
Anger,59,LipCornerPullerL,0.008555619777405328,0.037902939555903084,0.037902939555903084,True
Anger,60,LipCornerPullerR,0.00805513861888419,0.03488892562534138,0.03488892562534138,True
Anger,61,LipFunnelerLB,-0.0008804720839304731,-0.0175651222055713,0.0175651222055713,True
Anger,62,CheekSuckR,1.4508648355242088e-09,1.856623913613773e-07,1.856623913613773e-07,False
Anger,63,CheekSuckL,3.812657532100847e-10,4.0994983560501926e-08,4.0994983560501926e-08,False
Disgust,1,NoseWrinklerR,-0.34716508915555017,-1.981336717535489,1.981336717535489,True
Disgust,2,NoseWrinklerL,-0.3354785113196745,-1.9434054241298324,1.9434054241298324,True
Disgust,3,BrowLowererR,-0.16594785613231883,-1.1753097661963017,1.1753097661963017,True
Disgust,4,MouthRight,-0.008284888987804936,-1.1395947126889623,1.1395947126889623,False
Disgust,5,BrowLowererL,-0.1589443748954832,-1.0874607696762708,1.0874607696762708,True
Disgust,6,MouthLeft,-0.012108564196914234,-1.014677815385908,1.014677815385908,False
Disgust,7,EyesLookDownL,-0.035284408880750545,-0.9261651089940924,0.9261651089940924,False
Disgust,8,EyesLookRightR,-0.05535706028022104,-0.8337516155331393,0.8337516155331393,False
Disgust,9,UpperLipRaiserR,-0.1584190599477646,-0.8256870349507895,0.8256870349507895,True
Disgust,10,EyesLookDownR,-0.03563600864728306,-0.790234613302036,0.790234613302036,False
Disgust,11,UpperLipRaiserL,-0.14491634088706515,-0.7901976564134809,0.7901976564134809,True
Disgust,12,EyesClosedL,-0.07459436852929208,-0.688339435792988,0.688339435792988,False
