true_label,rank,fea_name,raw_difference_incorrect_minus_correct,sd_scaled_difference,abs_sd_scaled_difference,is_paper_relevant_fea,rank_within_paper_relevant
Anger,1,LipTightenerR,-0.11655541252989736,-2.0574055769975224,2.0574055769975224,True,1
Anger,2,LipTightenerL,-0.11607436065466627,-1.9695476030698236,1.9695476030698236,True,2
Anger,3,NoseWrinklerL,0.26327107747801354,1.525112407273494,1.525112407273494,True,3
Anger,4,NoseWrinklerR,0.2655590887610686,1.5155958639660916,1.5155958639660916,True,4
Anger,8,UpperLipRaiserR,0.19608240888430722,1.0219900487420899,1.0219900487420899,True,5
Anger,9,UpperLipRaiserL,0.18239627319565754,0.9945676708058959,0.9945676708058959,True,6
Anger,12,LipPressorL,0.040361759742352156,0.9109649117445016,0.9109649117445016,True,7
Anger,13,LipPressorR,0.04053032240396798,0.9080572905613258,0.9080572905613258,True,8
Anger,14,ChinRaiserB,-0.1670244340043455,-0.8118856782020212,0.8118856782020212,True,9
Anger,18,BrowLowererR,0.10563648715627255,0.7481602830858004,0.7481602830858004,True,10
Anger,19,BrowLowererL,0.10481693186465299,0.7171332831098506,0.7171332831098506,True,11
Anger,24,LipStretcherR,0.07209167311126465,0.6349134654359632,0.6349134654359632,True,12
Anger,25,LidTightenerL,-0.11051614874319038,-0.6140438477607897,0.6140438477607897,True,13
Anger,26,LipStretcherL,0.06619024832345255,0.613838073421048,0.613838073421048,True,14
Anger,27,JawDrop,0.1065746938715266,0.5968894269477656,0.5968894269477656,True,15
Anger,30,ChinRaiserT,-0.1056932973193947,-0.5585335269028091,0.5585335269028091,True,16
Anger,31,LowerLipDepressorL,0.06605702518839877,0.5519624539837767,0.5519624539837767,True,17
Anger,32,LowerLipDepressorR,0.06340670187193347,0.5433229740763003,0.5433229740763003,True,18
Anger,33,CheekRaiserL,0.11437542425033861,0.5359393238006076,0.5359393238006076,True,19
Anger,34,CheekRaiserR,0.11097777532863604,0.5358365601339559,0.5358365601339559,True,20
Anger,37,LipFunnelerRT,-0.016039590808333434,-0.39564706120469095,0.39564706120469095,True,21
Anger,39,LipFunnelerLT,-0.015961128891721077,-0.3945627901486495,0.3945627901486495,True,22
Anger,42,LidTightenerR,-0.06468851573633266,-0.3440424912964606,0.3440424912964606,True,23
Anger,47,UpperLidRaiserL,0.034440381072806295,0.19244192557680537,0.19244192557680537,True,24
Anger,48,UpperLidRaiserR,0.039905704029158384,0.18546192714876036,0.18546192714876036,True,25
Anger,49,InnerBrowRaiserR,-0.02321086545161779,-0.14768572396604632,0.14768572396604632,True,26
Anger,50,InnerBrowRaiserL,-0.015402446538970396,-0.10030096841578023,0.10030096841578023,True,27
Anger,52,LipCornerDepressorL,0.013953897809987119,0.08376543276785064,0.08376543276785064,True,28
Anger,53,LipCornerDepressorR,0.012173871649526866,0.07533772577701922,0.07533772577701922,True,29
Anger,56,OuterBrowRaiserR,0.00868220209247255,0.05419075630267845,0.05419075630267845,True,30
Anger,57,LipFunnelerRB,-0.0023989482916604277,-0.04829820633616191,0.04829820633616191,True,31
Anger,58,OuterBrowRaiserL,0.007328237960679804,0.04673197751923655,0.04673197751923655,True,32
Anger,59,LipCornerPullerL,0.008555619777405328,0.037902939555903084,0.037902939555903084,True,33
Anger,60,LipCornerPullerR,0.00805513861888419,0.03488892562534138,0.03488892562534138,True,34
Anger,61,LipFunnelerLB,-0.0008804720839304731,-0.0175651222055713,0.0175651222055713,True,35
Disgust,1,NoseWrinklerR,-0.34716508915555017,-1.981336717535489,1.981336717535489,True,1
Disgust,2,NoseWrinklerL,-0.3354785113196745,-1.9434054241298324,1.9434054241298324,True,2
Disgust,3,BrowLowererR,-0.16594785613231883,-1.1753097661963017,1.1753097661963017,True,3
Disgust,5,BrowLowererL,-0.1589443748954832,-1.0874607696762708,1.0874607696762708,True,4
Disgust,9,UpperLipRaiserR,-0.1584190599477646,-0.8256870349507895,0.8256870349507895,True,5
