true_label,fea_name,raw_difference_incorrect_minus_correct
Surprise,EyesLookUpL,-0.04757024577773288
Anger,EyesLookUpR,-0.09553018622810326
Disgust,EyesLookUpR,0.011637053977473333
Fear,EyesLookUpR,-0.014303087693851434
Happiness,EyesLookUpR,
Neutral,EyesLookUpR,-0.048738859753197444
Sadness,EyesLookUpR,-0.02579858978869097
Surprise,EyesLookUpR,-0.04771592230096796
Anger,InnerBrowRaiserL,-0.015402446538970396
Disgust,InnerBrowRaiserL,0.011780342704249956
Fear,InnerBrowRaiserL,-0.12836827121851896
Happiness,InnerBrowRaiserL,
Neutral,InnerBrowRaiserL,0.03306221421768549
Sadness,InnerBrowRaiserL,0.04260004471038335
Surprise,InnerBrowRaiserL,-0.29984278752400473
Anger,InnerBrowRaiserR,-0.02321086545161779
Disgust,InnerBrowRaiserR,0.0023318850879842368
Fear,InnerBrowRaiserR,-0.1309731152183043
Happiness,InnerBrowRaiserR,
Neutral,InnerBrowRaiserR,0.057764622406345265
Sadness,InnerBrowRaiserR,0.033957952655354076
Surprise,InnerBrowRaiserR,-0.3109604820190868
Anger,JawDrop,0.1065746938715266
Disgust,JawDrop,0.06544201415962539
Fear,JawDrop,-0.11341447667332463
Happiness,JawDrop,
Neutral,JawDrop,-0.008704168526260134
Sadness,JawDrop,0.006786034741646324
Surprise,JawDrop,-0.11261941441306705
Anger,JawSidewaysLeft,-0.01639950270730727
Disgust,JawSidewaysLeft,-0.0011614457304553296
Fear,JawSidewaysLeft,0.0032774736093540645
Happiness,JawSidewaysLeft,
Neutral,JawSidewaysLeft,0.0007242254977385995
Sadness,JawSidewaysLeft,-0.02297258077643766
Surprise,JawSidewaysLeft,0.01541486147546206
Anger,JawSidewaysRight,-0.01866328483557655
Disgust,JawSidewaysRight,0.0021087589506930283
Fear,JawSidewaysRight,-0.002366260971466773
Happiness,JawSidewaysRight,
Neutral,JawSidewaysRight,0.00046063798052713937
Sadness,JawSidewaysRight,-0.02278224189885649
Surprise,JawSidewaysRight,0.014890331247024095
Anger,JawThrust,-0.0037701387485569657
Disgust,JawThrust,0.016756091317518377
Fear,JawThrust,-0.011654443839500556
Happiness,JawThrust,
Neutral,JawThrust,0.0024829195830955767
Sadness,JawThrust,-0.06697419281726201
Surprise,JawThrust,0.053959106427818634
Anger,LidTightenerL,-0.11051614874319038
Disgust,LidTightenerL,-0.07226051293272423
Fear,LidTightenerL,0.09348121169112997
Happiness,LidTightenerL,
Neutral,LidTightenerL,0.09312610355529684
Sadness,LidTightenerL,0.03228967131778876
Surprise,LidTightenerL,0.2823360497862098
Anger,LidTightenerR,-0.06468851573633266
Disgust,LidTightenerR,-0.12184994979866878
Fear,LidTightenerR,0.11287273157964954
Happiness,LidTightenerR,
Neutral,LidTightenerR,0.12692007267358973
Sadness,LidTightenerR,0.005569061366518746
Surprise,LidTightenerR,0.19869194530698153
Anger,LipCornerDepressorL,0.013953897809987119
Disgust,LipCornerDepressorL,-0.05542702147656388
Fear,LipCornerDepressorL,-0.013867326419620976
Happiness,LipCornerDepressorL,
Neutral,LipCornerDepressorL,0.00101419756123536
Sadness,LipCornerDepressorL,-0.24567967356761575
Surprise,LipCornerDepressorL,0.005291282375808962
Anger,LipCornerDepressorR,0.012173871649526866
Disgust,LipCornerDepressorR,-0.04293635805799373
Fear,LipCornerDepressorR,-0.019455914467208103
Happiness,LipCornerDepressorR,
Neutral,LipCornerDepressorR,0.0005995235076149026
Sadness,LipCornerDepressorR,-0.24723666806008202
