subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Anger,Anger,20,54,0.4362534548388889
all,Anger,Disgust,20,54,0.28888865406888886
all,Anger,Fear,20,54,0.0741987500323426
all,Anger,Happiness,20,54,0.010298390805666665
all,Anger,Neutral,20,54,0.15096319325111865
all,Anger,Sadness,20,54,0.012148334459259261
all,Anger,Surprise,20,54,0.027249220111185187
all,Anger,Anger,21,54,0.46322106925629636
all,Anger,Disgust,21,54,0.3152663836711111
all,Anger,Fear,21,54,0.05744546075221297
all,Anger,Happiness,21,54,0.006432383982709261
all,Anger,Neutral,21,54,0.12443129309228704
all,Anger,Sadness,21,54,0.011120033732962966
all,Anger,Surprise,21,54,0.0220833819139074
all,Anger,Anger,22,54,0.4714745801685186
all,Anger,Disgust,22,54,0.33210824006148154
all,Anger,Fear,22,54,0.04481488710164814
all,Anger,Happiness,22,54,0.0038948744017962967
all,Anger,Neutral,22,54,0.11924119632255555
all,Anger,Sadness,22,54,0.010336955782592592
all,Anger,Surprise,22,54,0.018129257988407407
all,Anger,Anger,23,54,0.48345852310425924
all,Anger,Disgust,23,54,0.34490843180185177
all,Anger,Fear,23,54,0.037327792945055546
all,Anger,Happiness,23,54,0.0018041441048296293
all,Anger,Neutral,23,54,0.10755789876667407
all,Anger,Sadness,23,54,0.009818675207777782
all,Anger,Surprise,23,54,0.015124540310722225
all,Anger,Anger,24,54,0.4933550096172222
all,Anger,Disgust,24,54,0.3632369041033334
all,Anger,Fear,24,54,0.03904991128814815
all,Anger,Happiness,24,54,0.0013929697284611115
all,Anger,Neutral,24,54,0.08497157983104077
all,Anger,Sadness,24,54,0.010180866518333331
all,Anger,Surprise,24,54,0.007812755512851856
all,Anger,Anger,25,54,0.49471674733814813
all,Anger,Disgust,25,54,0.3749136105735183
all,Anger,Fear,25,54,0.03976346160301852
all,Anger,Happiness,25,54,0.0012438775827759252
all,Anger,Neutral,25,54,0.0749846701798852
all,Anger,Sadness,25,54,0.010196414354259256
all,Anger,Surprise,25,54,0.004181230598222222
all,Anger,Anger,26,54,0.4889615460685185
all,Anger,Disgust,26,54,0.386757406082963
all,Anger,Fear,26,54,0.03735470189547224
all,Anger,Happiness,26,54,0.0013378042715962962
all,Anger,Neutral,26,54,0.07243457080760554
all,Anger,Sadness,26,54,0.010285905707037033
all,Anger,Surprise,26,54,0.002868064810092591
all,Anger,Anger,27,54,0.48496678365648144
all,Anger,Disgust,27,54,0.39716393093833346
all,Anger,Fear,27,54,0.034274483776416655
all,Anger,Happiness,27,54,0.0013356530952981479
all,Anger,Neutral,27,54,0.06944513787440741
all,Anger,Sadness,27,54,0.01037386039074074
all,Anger,Surprise,27,54,0.0024401455005185176
all,Anger,Anger,28,54,0.4862865413259258
all,Anger,Disgust,28,54,0.4117282264592593
all,Anger,Fear,28,54,0.030412009336698145
all,Anger,Happiness,28,54,0.0012828510089814807
all,Anger,Neutral,28,54,0.05643322671449075
all,Anger,Sadness,28,54,0.011583016887777778
all,Anger,Surprise,28,54,0.002274132348259258
all,Anger,Anger,29,54,0.48403248977314817
all,Anger,Disgust,29,54,0.4291905874370371
all,Anger,Fear,29,54,0.02576069490201112
all,Anger,Happiness,29,54,0.0012452431134037042
all,Anger,Neutral,29,54,0.042369298780314826
all,Anger,Sadness,29,54,0.015086483516296299
all,Anger,Surprise,29,54,0.00231519346275926
all,Anger,Anger,30,54,0.4755465331148148
all,Anger,Disgust,30,54,0.4421614822462963
all,Anger,Fear,30,54,0.021644357007542595
all,Anger,Happiness,30,54,0.0011928495684092597
all,Anger,Neutral,30,54,0.03547301823506482
all,Anger,Sadness,30,54,0.021598915289814814
all,Anger,Surprise,30,54,0.0023828490067222224
all,Disgust,Anger,1,54,0.11277695688888889
all,Disgust,Disgust,1,54,0.14126494114814814
all,Disgust,Fear,1,54,0.1587124775351852
all,Disgust,Happiness,1,54,0.23578854824074072
all,Disgust,Neutral,1,54,0.15642020499074072
all,Disgust,Sadness,1,54,0.0829425652851852
all,Disgust,Surprise,1,54,0.11209430600555556
all,Disgust,Anger,2,54,0.09460839983518522
all,Disgust,Disgust,2,54,0.11822463522037036
all,Disgust,Fear,2,54,0.1679670409914815
all,Disgust,Happiness,2,54,0.2785400412648149
all,Disgust,Neutral,2,54,0.18255203579629628
all,Disgust,Sadness,2,54,0.058950093013148144
all,Disgust,Surprise,2,54,0.09915774876018514
all,Disgust,Anger,3,54,0.09071988645277776
all,Disgust,Disgust,3,54,0.11934466897962961
all,Disgust,Fear,3,54,0.17192047960944445
all,Disgust,Happiness,3,54,0.288548685927037
all,Disgust,Neutral,3,54,0.19190004548174075
all,Disgust,Sadness,3,54,0.051024845628888885
all,Disgust,Surprise,3,54,0.08654138159351854
all,Disgust,Anger,4,54,0.08277836247092593
all,Disgust,Disgust,4,54,0.1257782570862963
all,Disgust,Fear,4,54,0.1744237509047408
all,Disgust,Happiness,4,54,0.2889619960746296
all,Disgust,Neutral,4,54,0.19897489216188885
all,Disgust,Sadness,4,54,0.05383860885251853
all,Disgust,Surprise,4,54,0.07524411722311111
all,Disgust,Anger,5,54,0.07706796319111112
all,Disgust,Disgust,5,54,0.13284881115185185
all,Disgust,Fear,5,54,0.1760108435757593
all,Disgust,Happiness,5,54,0.28406652340622224
all,Disgust,Neutral,5,54,0.20654377093262963
all,Disgust,Sadness,5,54,0.05629807574366668
all,Disgust,Surprise,5,54,0.06716401580431482
all,Disgust,Anger,6,54,0.07199480544314815
all,Disgust,Disgust,6,54,0.14303938316944445
all,Disgust,Fear,6,54,0.17480790063379634
all,Disgust,Happiness,6,54,0.2781541004910833
all,Disgust,Neutral,6,54,0.21306246914176669
all,Disgust,Sadness,6,54,0.05737870280796296
all,Disgust,Surprise,6,54,0.06156262927133333
all,Disgust,Anger,7,54,0.06889465219814815
all,Disgust,Disgust,7,54,0.1603980573925926
all,Disgust,Fear,7,54,0.16975929138729628
all,Disgust,Happiness,7,54,0.2711179849422407
all,Disgust,Neutral,7,54,0.21859577299765925
all,Disgust,Sadness,7,54,0.05692361193398148
all,Disgust,Surprise,7,54,0.05431063294270371
all,Disgust,Anger,8,54,0.07105610204192592
all,Disgust,Disgust,8,54,0.17945379043944445
all,Disgust,Fear,8,54,0.16874764578868515
all,Disgust,Happiness,8,54,0.2664952437056667
all,Disgust,Neutral,8,54,0.20843081986892037
all,Disgust,Sadness,8,54,0.05568252389125926
all,Disgust,Surprise,8,54,0.05013386013987035
all,Disgust,Anger,9,54,0.08438842999361114
all,Disgust,Disgust,9,54,0.19339950148555557
all,Disgust,Fear,9,54,0.16102620124203695
all,Disgust,Happiness,9,54,0.25833750818518525
all,Disgust,Neutral,9,54,0.19985332406852782
all,Disgust,Sadness,9,54,0.05539868214255556
all,Disgust,Surprise,9,54,0.04759635511701851
all,Disgust,Anger,10,54,0.0950229686757407
all,Disgust,Disgust,10,54,0.207431387035
all,Disgust,Fear,10,54,0.1541811500982037
all,Disgust,Happiness,10,54,0.25061807205538894
all,Disgust,Neutral,10,54,0.18381473034771856
all,Disgust,Sadness,10,54,0.062052854358981495
all,Disgust,Surprise,10,54,0.04687883292767593
all,Disgust,Anger,11,54,0.09933195937629628
all,Disgust,Disgust,11,54,0.21188834235203705
all,Disgust,Fear,11,54,0.1587217671954074
all,Disgust,Happiness,11,54,0.24305999793209268
all,Disgust,Neutral,11,54,0.17100649706192605
all,Disgust,Sadness,11,54,0.07084243701892594
all,Disgust,Surprise,11,54,0.045149006657777775
all,Disgust,Anger,12,54,0.10267629899807405
all,Disgust,Disgust,12,54,0.21568643281888886
all,Disgust,Fear,12,54,0.16628807367057413
all,Disgust,Happiness,12,54,0.23481528685787031
all,Disgust,Neutral,12,54,0.16531643870636664
all,Disgust,Sadness,12,54,0.07145286354390742
all,Disgust,Surprise,12,54,0.04376460518927778
all,Disgust,Anger,13,54,0.10395717704759255
all,Disgust,Disgust,13,54,0.223353550812037
all,Disgust,Fear,13,54,0.17006350796470368
all,Disgust,Happiness,13,54,0.2259946089719629
all,Disgust,Neutral,13,54,0.16868998383278894
all,Disgust,Sadness,13,54,0.06486961078545371
all,Disgust,Surprise,13,54,0.04307156356725927
all,Disgust,Anger,14,54,0.10442058856992592
all,Disgust,Disgust,14,54,0.2456071055905556
all,Disgust,Fear,14,54,0.16282476363955561
all,Disgust,Happiness,14,54,0.21968372509974077
all,Disgust,Neutral,14,54,0.16664207177314447
all,Disgust,Sadness,14,54,0.06072211383535186
all,Disgust,Surprise,14,54,0.04009963452572222
all,Disgust,Anger,15,54,0.10436657748714816
all,Disgust,Disgust,15,54,0.2688159094235185
all,Disgust,Fear,15,54,0.15133053530481477
all,Disgust,Happiness,15,54,0.21504502176207396
all,Disgust,Neutral,15,54,0.1580641754276352
all,Disgust,Sadness,15,54,0.05920973190672221
all,Disgust,Surprise,15,54,0.04316805007935187
all,Disgust,Anger,16,54,0.1031495792464815
all,Disgust,Disgust,16,54,0.2766268017387038
all,Disgust,Fear,16,54,0.148094309648426
all,Disgust,Happiness,16,54,0.21073348612000922
all,Disgust,Neutral,16,54,0.1508926901513481
all,Disgust,Sadness,16,54,0.05966947319388888
all,Disgust,Surprise,16,54,0.050833655115111114
all,Disgust,Anger,17,54,0.10289177628296295
all,Disgust,Disgust,17,54,0.2838925741898148
all,Disgust,Fear,17,54,0.1454914637812593
all,Disgust,Happiness,17,54,0.20841724598500003
all,Disgust,Neutral,17,54,0.14254929713735923
all,Disgust,Sadness,17,54,0.06012689208105555
all,Disgust,Surprise,17,54,0.05663074095312962
all,Disgust,Anger,18,54,0.10523969090029629
all,Disgust,Disgust,18,54,0.29737533110296294
